derivative,n_files,n_errors,source_path,bad_channels.bad_channels,bad_channels.n_bad,bad_channels.rate,epoch_rejection.n_total,epoch_rejection.n_rejected,epoch_rejection.rejection_rate,ica_components.n_components,ica_components.excluded,ica_components.n_excluded,ica_components.exclusion_rate,line_noise_50hz,signal_quality.rms,signal_quality.rms_per_channel_mean,signal_quality.rms_per_channel_std,signal_quality.mean,signal_quality.std,signal_quality.kurtosis,psd.delta,psd.theta,psd.alpha,psd.beta,psd.gamma,snr
mbp-clonesatacs,4,0,,,0.0,0.0,,,,,,,,6.120362642830158e-05,1.2771732949861536,0.28004683435695926,1.2460151017359393,-0.27929347656396586,1.2461808643829158,22.771972456859558,148.71231119931792,145.37712281248875,119.61900511677152,77.80943217270207,34.32222246252678,43.960608728631875
mbp-hemianotacs,70,0,,,0.0,0.0,,,,,,,,3.491125891039888,1.3867179777819267e-05,1.0554787561610473e-05,7.760081749311578e-06,1.1334785328254069e-08,1.386712752479013e-05,161.29599933372472,0.10589469906856463,0.019479764690480867,0.019665084426593864,0.005071137350265446,0.0023875265902253123,566848305.4904561
raw-clonesatacs,128,0,,,0.0,0.0,,,,,,,,0.014018124387240568,1.302470090760921,0.2903728926771144,1.2695055141408111,-0.2693270112583366,1.2739466901681349,24.813118871136655,22738.73695653541,46860.43425244285,16009.394087410985,13601.260999053668,5159.871866794029,48.874825441543415
raw-hemianotacs,0,296,,,,,,,,,,,,,,,,,,,,,,,,
