file,source_path,bad_channels.bad_channels,bad_channels.n_bad,bad_channels.rate,epoch_rejection.n_total,epoch_rejection.n_rejected,epoch_rejection.rejection_rate,ica_components.n_components,ica_components.excluded,ica_components.n_excluded,ica_components.exclusion_rate,line_noise_50hz,signal_quality.rms,signal_quality.rms_per_channel_mean,signal_quality.rms_per_channel_std,signal_quality.mean,signal_quality.std,signal_quality.kurtosis,psd.delta,psd.theta,psd.alpha,psd.beta,psd.gamma,snr
sub-02_ses-1_task-SHAM_acq-baselinepre_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-SHAM_acq-baselinepre_run-1_eeg.vhdr,,0,0.0,,,,,,,,0.00011575743926545765,1.2887671930167517,0.2876205604273515,1.256262429198507,-0.2874402888690844,1.2563036886561842,23.375987577539124,296.17424409477144,169.78170856848678,113.84997374967861,73.33317491344052,33.07240741223351,52.79091606713956
sub-02_ses-1_task-SHAM_acq-baselinepre_run-3_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-SHAM_acq-baselinepre_run-3_eeg.vhdr,,0,0.0,,,,,,,,0.00010248898927843569,1.28060327174521,0.26741373103061605,1.2523716046209374,-0.2670844930811361,1.2524418601915734,26.201744724187492,448.66660849505166,211.77162536115554,119.6619364506386,72.04178536686481,31.147896537764744,63.098239629726095
sub-02_ses-1_task-SHAM_acq-STIM_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-SHAM_acq-STIM_run-1_eeg.vhdr,,0,0.0,,,,,,,,0.008734355776816133,1.6118022761559505,0.3744900001190281,1.5676937893709832,-0.31623330196113286,1.5804755854337842,24.13590384021909,92448.44113266378,48342.38231156682,35359.26819439183,30675.73441380985,26841.52976968258,2.0443087846352888
sub-02_ses-1_task-SHAM_acq-STIM_run-3_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-SHAM_acq-STIM_run-3_eeg.vhdr,,0,0.0,,,,,,,,0.04653542425925555,1.6831947303228945,0.4107726460670907,1.6323021575155139,-0.394107387375706,1.6364057771233442,22.54296779685759,78712.23793508965,37648.765669900764,23696.088033019816,20070.81866139292,17277.53473446854,2.0613937132326474
sub-02_ses-1_task-TACS_acq-baselinepost_run-4_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-TACS_acq-baselinepost_run-4_eeg.vhdr,,0,0.0,,,,,,,,0.17178059449455854,1.1840563419296921,0.33007405179798266,1.1371194049850644,-0.1815123313284033,1.1700609789406928,20.76712346004187,50555.05039366467,27126.294290687925,26117.794843444753,24561.62414910615,22894.04584703212,1.4878747161715247
sub-02_ses-1_task-TACS_acq-baselinepre_run-4_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-TACS_acq-baselinepre_run-4_eeg.vhdr,,0,0.0,,,,,,,,3.473827315459452e-05,1.2831560907894177,0.270641236979235,1.2542897887555053,-0.2697838264678987,1.2544744877064335,25.128834715205578,315.67846168492173,176.13910810184396,117.96929574045649,82.64060036736184,36.520873799764686,50.49052863417834
sub-02_ses-1_task-TACS_acq-STIM_run-4_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-TACS_acq-STIM_run-4_eeg.vhdr,,0,0.0,,,,,,,,0.013630619004637853,1.6703407058775919,0.4038215875643901,1.6207918432447233,-0.3045645208232971,1.6423393456796096,23.896592706108706,793925.714122074,2974532.876697413,203194.25616801306,135200.8991788114,68006.75733235854,45.965439811473324
sub-02_ses-1_task-TRNS_acq-baselinepost_run-2_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-TRNS_acq-baselinepost_run-2_eeg.vhdr,,0,0.0,,,,,,,,0.21382763794490692,1.134179632198968,0.3061875726496834,1.0920680420421984,-0.20142164920068015,1.1161508667417073,23.78134216403788,47715.43241375539,27477.15665116156,25482.336828193907,23588.208342731512,21994.71904935867,1.3667054436961206
sub-02_ses-1_task-TRNS_acq-baselinepre_run-2_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-TRNS_acq-baselinepre_run-2_eeg.vhdr,,0,0.0,,,,,,,,0.00015331603244109353,1.2950416695818703,0.2828065803513725,1.2637853314797418,-0.2826939923771102,1.2638105208563855,24.978655661125025,275.8565458968832,169.82513213915476,107.66453859096904,70.11819498984363,31.0888069533653,53.59137542257496
sub-02_ses-1_task-TRNS_acq-STIM_run-2_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-1/eeg/sub-02_ses-1_task-TRNS_acq-STIM_run-2_eeg.vhdr,,0,0.0,,,,,,,,0.04414713992512215,1.4907907363539463,0.394362269311007,1.437684047397972,-0.29300881676949203,1.4617123016839133,19.812360463630885,851607.2566348966,733398.0581780066,1223623.425908725,1087347.2490016867,217261.5856835905,21.456780616356404
sub-02_ses-2_task-RSO_run-0_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-2/eeg/sub-02_ses-2_task-RSO_run-0_eeg.vhdr,,0,0.0,,,,,,,,1.4096207564880485e-05,1.2755798261214801,0.2880270057743717,1.2426360435593182,-0.287845538897005,1.2426780912791526,22.179801664650793,215.38824079604296,152.21699475700603,119.69903699439246,74.11233023335639,30.054903093036593,47.891372020310236
sub-02_ses-2_task-RSO_run-4_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-2/eeg/sub-02_ses-2_task-RSO_run-4_eeg.vhdr,,0,0.0,,,,,,,,3.924195015325781e-05,1.3006404677879557,0.30026042085938176,1.2655075290621622,-0.29937730836579823,1.2657167351675978,21.81299701637901,262.6614758371044,151.20116394543263,112.75339193957619,74.93296299720126,29.218641562891026,49.63528621087552
sub-02_ses-2_task-SHAM_acq-baselinepost_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-2/eeg/sub-02_ses-2_task-SHAM_acq-baselinepost_run-1_eeg.vhdr,,0,0.0,,,,,,,,0.00014410079175526124,1.297335028798522,0.29488016421422825,1.2633779583721774,-0.2940443838763894,1.2635727431606047,21.513933656794027,447.2719890329291,192.34207422349613,108.56787014195518,68.83412140092383,36.218478398437426,60.90730487428999
sub-02_ses-2_task-SHAM_acq-baselinepost_run-3_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-2/eeg/sub-02_ses-2_task-SHAM_acq-baselinepost_run-3_eeg.vhdr,,0,0.0,,,,,,,,3.5591167351521664e-05,1.3101566313939075,0.3004311230561087,1.2752456779321686,-0.30010249815239315,1.2753230529509472,22.072297291711518,442.66885303268833,204.76061488592734,112.32835273433554,71.35529966546159,35.129144697392434,61.60922660665013
sub-02_ses-2_task-SHAM_acq-baselinepre_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-2/eeg/sub-02_ses-2_task-SHAM_acq-baselinepre_run-1_eeg.vhdr,,0,0.0,,,,,,,,4.753649021951663e-05,1.2965626602492357,0.3105948262859431,1.2588111795805517,-0.31049781317848074,1.2588351123018282,22.20431751638908,401.56314450569516,242.8065486367108,121.41525085282368,78.96723155615284,36.12901637188411,57.56117057006078
sub-02_ses-2_task-SHAM_acq-baselinepre_run-3_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-2/eeg/sub-02_ses-2_task-SHAM_acq-baselinepre_run-3_eeg.vhdr,,0,0.0,,,,,,,,2.5156699476271976e-05,1.3071322602928621,0.29904749912098094,1.2724642781500048,-0.2542663668581025,1.2821635467377424,23.61555414933033,259.25782929796753,205.09641630897042,146.54379011811267,81.86407726612681,38.03905133536681,50.598100736739475
sub-02_ses-2_task-TACS_acq-baselinepost_run-2_eeg.vhdr,/Volumes/levy/raw/valerocabre/clonesa/Data/clonesatACS/derivatives/bids/sub-02/ses-2/eeg/sub-02_ses-2_task-TACS_acq-baselinepost_run-2_eeg.vhdr,,0,0.0,,,,,,,,1.0161915911047214e-05,1.2955823715601464,0.2913966359161188,1.2623872948006813,-0.29056488264167324,1.262578999695799,22.387918139421537,331.8553645241056,197.6157149402733,114.36497810295326,71.39807017879177,36.062895147729726,56.214731522951006
