file,source_path,bad_channels.bad_channels,bad_channels.n_bad,bad_channels.rate,epoch_rejection.n_total,epoch_rejection.n_rejected,epoch_rejection.rejection_rate,ica_components.n_components,ica_components.excluded,ica_components.n_excluded,ica_components.exclusion_rate,line_noise_50hz,signal_quality.rms,signal_quality.rms_per_channel_mean,signal_quality.rms_per_channel_std,signal_quality.mean,signal_quality.std,signal_quality.kurtosis,psd.delta,psd.theta,psd.alpha,psd.beta,psd.gamma,snr,error
sub-0001_ses-01_task-detection_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0001/ses-01/eeg/sub-0001_ses-01_task-detection_run-1_eeg.vhdr,,0,0.0,,,,,,,,17.255145378910015,0.0005003433002360406,0.0004983104437904316,4.5056849651033046e-05,3.169419277867934e-05,0.0004993384585981743,36.73183734915482,19.08617501115834,2.3107628839111105,0.7049895317758451,0.2516764696063641,0.08191851085975416,646.8720969213919,
sub-0001_ses-01_task-rest_acq-EC_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0001/ses-01/eeg/sub-0001_ses-01_task-rest_acq-EC_run-1_eeg.vhdr,,0,0.0,,,,,,,,0.30437932380823896,0.00011616464537811367,7.995352366424445e-05,8.427134085496687e-05,-1.2401219724084075e-05,0.00011550079906727008,138.41661229828446,0.07192977831700867,0.01613920659976857,0.019225639880456332,0.002952486487230467,0.0030805042962932776,38.114006968672356,
sub-0001_ses-01_task-rest_acq-EO_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0001/ses-01/eeg/sub-0001_ses-01_task-rest_acq-EO_run-1_eeg.vhdr,,0,0.0,,,,,,,,0.2552324597475244,0.00018712427476445657,0.00012587082203936153,0.0001384631010964987,-3.422820913103736e-05,0.00018396718159988703,157.53106050021532,0.2999240694677382,0.031843127999948394,0.008210788674757328,0.005038976269337547,0.0059542029691294655,55.16255186571296,
sub-0001_ses-01_task-vep_acq-cinetique_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0001/ses-01/eeg/sub-0001_ses-01_task-vep_acq-cinetique_run-1_eeg.vhdr,,0,0.0,,,,,,,,78.93778036078396,0.0001780757202432216,0.00011987810772422323,0.0001316821986017915,5.595855446672335e-06,0.00017798777638355416,179.58330406965518,0.9799987068604503,0.124433750916337,0.02855166508613125,0.01971451512597132,0.025256138666158598,213.78108499112128,
sub-0001_ses-01_task-vep_acq-cinetique_run-2_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0001/ses-01/eeg/sub-0001_ses-01_task-vep_acq-cinetique_run-2_eeg.vhdr,,0,0.0,,,,,,,,19.45558037527753,0.0002061899611400917,0.0001291875209955619,0.00016070122741900192,9.743030143217058e-06,0.00020595964031474925,160.55110055577308,1.924849420674472,0.19390382861433944,0.06277774995184622,0.08282079071443668,0.12274813854393098,121.2857535928918,
sub-0001_ses-01_task-vep_acq-fullfield_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0001/ses-01/eeg/sub-0001_ses-01_task-vep_acq-fullfield_run-1_eeg.vhdr,,0,0.0,,,,,,,,11.357255021228191,0.00023472550644696935,0.00017146737634883102,0.0001602966070284539,-3.2403870689428476e-05,0.0002324780689465762,65.84776699706134,0.26017587962035743,0.03436125113038567,0.011101254779880443,0.004367733137787867,0.0030811574112913943,172.8875895207608,
sub-0002_ses-01_task-detection_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0002/ses-01/eeg/sub-0002_ses-01_task-detection_run-1_eeg.vhdr,,0,0.0,,,,,,,,159.17720869724,0.00020361526847227464,0.0001489979312343378,0.00013877605716738033,-5.726741772083483e-06,0.00020353471935694988,116.019255083008,1.0203626168041344,0.13169307923248655,0.13367827715018676,0.043270768649985136,0.04931274704712592,41.94682621007922,
sub-0002_ses-01_task-rest_acq-EC_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0002/ses-01/eeg/sub-0002_ses-01_task-rest_acq-EC_run-1_eeg.vhdr,,0,0.0,,,,,,,,2.007327071315094,0.00014352029736202062,0.00013059939968657655,5.951363336571419e-05,1.1764426955175234e-05,0.00014303731685577428,136.0119970556089,0.12779512133072884,0.03577899853204492,0.09987490149333962,0.009118652052231245,0.0054150944552290485,82.45722624067218,
sub-0002_ses-01_task-rest_acq-EO_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0002/ses-01/eeg/sub-0002_ses-01_task-rest_acq-EO_run-1_eeg.vhdr,,0,0.0,,,,,,,,0.5230334369380741,0.0001668071557971244,0.00013529607530725633,9.756843358166292e-05,9.377952800394721e-06,0.000166543331377752,121.41846828151533,0.1761228643515042,0.028629743136905243,0.03978115611604497,0.012065017444871769,0.015055551116542963,36.01630171807473,
sub-0002_ses-01_task-vep_acq-fullfield_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0002/ses-01/eeg/sub-0002_ses-01_task-vep_acq-fullfield_run-1_eeg.vhdr,,0,0.0,,,,,,,,83.80519356736447,5.7476577599775405e-05,5.2585965557821745e-05,2.3200715483247266e-05,-1.71073936348179e-05,5.48716142974343e-05,99.80567695228211,0.07181382496232935,0.012986628363947404,0.015706144910773174,0.0029691300614487597,0.0016775529565523765,93.59505365355332,
